Processo                 ; Crime               ; Cidade                 ; Vara                                                                  ; Juiz                                             ; Pena_Base          ; Pena_Definitiva            ; anos_b; meses_b; dias_b; anos_d; meses_d; dias_d
0000096-87.2017.8.26.0238; Furto               ; Ibiãºna                ; 2ªª Vara                                                              ; Luiz Fernando Angiolucci                         ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0000156-88.2017.8.26.0358; Furto               ; Mirassol               ; 1ª Vara                                                               ; Natália Berti                                    ; 2 ano 4 mês 0 dia       ; 3 ano 10 mês 20 dia    ;      2;       4;      0;      3;      10;     20
0000234-17.2016.8.26.0488; Furto               ; Queluz                 ; Vara Única                                                            ; LUCAS CAMPOS DE SOUZA                            ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0000449-43.2020.8.26.0620; Furto               ; Taquarituba            ; Vara Única                                                            ; DIANA CRISTINA SILVA SPESSOTTO                   ; 2 ano 9 mês 0 dia       ; 2 ano 9 mês 0 dia      ;      2;       9;      0;      2;       9;      0
0000449-43.2020.8.26.0620; Furto               ; Taquarituba            ; Vara Única                                                            ; DIANA CRISTINA SILVA SPESSOTTO                   ; N/A                     ; "N/A"""                ;      0;       0;      0;      0;       0;      0
0000581-75.2017.8.26.0630; Furto               ; Nova Odessa            ; 1ªª Vara Judicial                                                     ; Letã­cia Lemos Rossi                             ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0000618-37.2017.8.26.0587; Furto               ; São Sebastião          ; Vara Criminal                                                         ; GLAUCIA FERNANDES PAIVA                          ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0000801-94.2016.8.26.0311; Furto               ; Junqueirã³polis        ; Vara Única                                                            ; VANDICKSON SOARES EMIDIO                         ; 1 ano 0 mês 0 dia       ; 1 ano 0 mês 0 dia      ;      1;       0;      0;      1;       0;      0
0000967-64.2015.8.26.0537; Furto               ; Diadema                ; 1ª Vara Criminal                                                      ; KLEBER LELES DE SOUZA                            ; 1 ano, 4 mês, 0 dia     ; 1 ano, 4 mês, 0 dia    ;      1;       4;      0;      1;       4;      0
0001238-74.2016.8.26.0493; Furto               ; Regente Feijó          ; Vara Única                                                            ; MARCEL PANGONI GUERRA                            ; 1 ano 2 mês 0 dia       ; 1 ano 6 mês 20 dia     ;      1;       2;      0;      1;       6;     20
0001450-87.2016.8.26.0625; Furto               ; Taubaté                ; 1ª Vara Criminal                                                      ; Cláudia Calles Novellino Ballestero              ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0001450-87.2016.8.26.0625; Furto               ; Taubaté                ; 1ª Vara Criminal                                                      ; Cláudia Calles Novellino Ballestero              ; N/A                     ; "N/A"""                ;      0;       0;      0;      0;       0;      0
0001610-74.2017.8.26.0594; Furto               ; Bauru                  ; 3ªª Vara Criminal                                                     ; Cláudio Augusto Saad Abujamra                    ; 2 ano 4 mês 0 dia       ; 1 ano 6 mês 20 dia     ;      2;       4;      0;      1;       6;     20
0001610-74.2017.8.26.0594; Furto               ; Bauru                  ; 3ªª Vara Criminal                                                     ; Cláudio Augusto Saad Abujamra                    ; N/A                     ; "N/A"""                ;      0;       0;      0;      0;       0;      0
0001862-87.2020.8.26.0201; Furto               ; Garã§a                 ; 3ªª Vara                                                              ; TIAGO TADEU SANTOS COELHO                        ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0002147-21.2018.8.26.0405; Furto               ; Osasco                 ; 4ª Vara Criminal                                                      ; MARIANA HORTA GREENHALGH                         ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0002147-21.2018.8.26.0405; Furto               ; Osasco                 ; 4ª Vara Criminal                                                      ; MARIANA HORTA GREENHALGH                         ; N/A                     ; "N/A"""                ;      0;       0;      0;      0;       0;      0
0002511-28.2016.8.26.0028; Furto               ; Aparecida              ; 2ªª Vara                                                              ; ANDERSON DA SILVA ALMEIDA                        ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0002645-28.2013.8.26.0168; Furto               ; Dracena                ; 1ªª Vara                                                              ; ALINE TABUCHI DA SILVA                           ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0003009-29.2015.8.26.0362; Furto               ; Mogi-Guaã§u            ; Vara Criminal                                                         ; PAULO ROGERIO MALVEZZI                           ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0003620-96.2016.8.26.0248; Furto               ; Indaiatuba             ; 2ªª Vara Criminal                                                     ; Daniela Faria Romano                             ; 2 ano 0 mês 0 dia       ; 2 ano 4 mês 0 dia      ;      2;       0;      0;      2;       4;      0
0003620-96.2016.8.26.0248; Furto               ; Indaiatuba             ; 2ªª Vara Criminal                                                     ; Daniela Faria Romano                             ; N/A                     ; "N/A"""                ;      0;       0;      0;      0;       0;      0
0004037-37.2012.8.26.0459; Furto               ; Pitangueiras           ; 1ªª Vara                                                              ; FREDERICO PUPO CARRIJO DE ANDRADE                ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0004262-86.2014.8.26.0459; Furto               ; Pitangueiras           ; 1ªª Vara                                                              ; FREDERICO PUPO CARRIJO DE ANDRADE                ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0004262-86.2014.8.26.0459; Furto               ; Pitangueiras           ; 1ª Vara                                                               ; FREDERICO PUPO CARRIJO DE ANDRADE                ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
0005187-09.2022.8.26.0037; Furto               ; Araraquara             ; 3ª Vara Criminal                                                      ; Roberto Raineri Simão                            ; 3 ano 0 mês 0 dia       ; 5 ano 10 mês 0 dia     ;      3;       0;      0;      5;      10;      0
0005468-62.2007.8.26.0595; Furto (art. 155)    ; Serra Negra            ; 1ª Vara                                                               ; JULIANA MARIA FINATI                             ; N/A                     ; N/A                    ;      0;       0;      0;      0;       0;      0
