Processo                 ; Crime                                                    ; Cidade                   ; Vara                                                                  ; Juiz                                              ; Pena_Base     ; Pena_Definitiva        ; anos_b; meses_b; dias_b; anos_d; meses_d; dias_d
1500074-96.2020.8.26.0545; Tráfico de Drogas e Condutas Afins                       ; Piracaia                 ; 2ªª Vara                                                              ; LUCAS DE ABREU EVANGELINOS                        ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500091-33.2022.8.26.0038; Tráfico de Drogas e Condutas Afins                       ; Araras                   ; Vara Criminal                                                         ; Rafael Pavan de Moraes Filgueira                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500091-33.2022.8.26.0038; Tráfico de Drogas e Condutas Afins                       ; Araras                   ; Vara Criminal                                                         ; Rafael Pavan de Moraes Filgueira                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500091-33.2022.8.26.0038; Tráfico de Drogas e Condutas Afins                       ; Araras                   ; Vara Criminal                                                         ; Rafael Pavan de Moraes Filgueira                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500100-87.2022.8.26.0557; Tráfico de Drogas e Condutas Afins                       ; Barretos                 ; 2ªª Vara Criminal                                                     ; LUCIANO DE OLIVEIRA SILVA                         ; 5 ano 0 mês 0 dia ; 6 ano 8 mês 0 dia  ;      5;       0;      0;      6;       8;      0
1500100-87.2022.8.26.0557; Tráfico de Drogas e Condutas Afins                       ; Barretos                 ; 2ªª Vara Criminal                                                     ; LUCIANO DE OLIVEIRA SILVA                         ; 6 ano 8 mês 0 dia ; 5 ano 6 mês 20 dia ;      6;       8;      0;      5;       6;     20
1500166-96.2022.8.26.0612; Tráfico de Drogas e Condutas Afins                       ; Taquaritinga             ; 1ªª Vara                                                              ; LEOPOLDO VILELA DE ANDRADE DA SILVA COSTA         ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500243-39.2022.8.26.0537; Tráfico de Drogas e Condutas Afins                       ; Diadema                  ; 2ªª Vara Criminal                                                     ; CECãLIAª NAIR SIQUEIRA PRADO EUZEBIO              ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1500300-95.2019.8.26.0623; Tráfico de Drogas e Condutas Afins                       ; Espã­rito Santo do Pinhal; 1ªª Vara                                                              ; ROSELI JOSE FERNANDES COUTINHO                    ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500331-20.2018.8.26.0569; Tráfico de Drogas e Condutas Afins                       ; Indaiatuba               ; 2ªª Vara Criminal                                                     ; Daniela Faria Romano                              ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1500420-83.2022.8.26.0575; Tráfico de Drogas e Condutas Afins                       ; Sã£o José do Rio Pardo   ; 2ªª Vara                                                              ; Marcelo Luiz Leano                                ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
1500790-75.2022.8.26.0603; Tráfico de Drogas e Condutas Afins                       ; Araã§atuba               ; 1ªª Vara Criminal                                                     ; Roberto Soares Leite                              ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
1500852-53.2022.8.26.0559; Tráfico de Drogas e Condutas Afins                       ; Sã£o José do Rio Preto   ; 4ªª Vara Criminal                                                     ; Maria Letã­cia Pozzi Buassi                       ; 5 ano 10 mês 0 dia; 5 ano 0 mês 0 dia  ;      5;      10;      0;      5;       0;      0
1500903-25.2021.8.26.0648; Tráfico de Drogas e Condutas Afins                       ; Urupês                   ; Vara ãnica                                                            ; VINICIUS NUNES ABBUD                              ; 5 ano 10 mês 0 dia; 5 ano 4 mês 5 dia  ;      5;      10;      0;      5;       4;      5
1500939-37.2020.8.26.0540; Tráfico de Drogas e Condutas Afins                       ; Santo André              ; 2ªª Vara Criminal                                                     ; Teresa Cristina Cabral Santana                    ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1509682-65.2021.8.26.0228; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 15ªª Vara Criminal                                                    ; MANOELA ASSEF DA SILVA                            ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500986-04.2021.8.26.0628; Tráfico de Drogas e Condutas Afins                       ; Itapevi                  ; Vara Criminal                                                         ; Udo Wolff Dick Appolo Do Amaral                   ; 6 ano 0 mês 0 dia ; 7 ano 0 mês 0 dia  ;      6;       0;      0;      7;       0;      0
1501045-05.2018.8.26.0302; Tráfico de Drogas e Condutas Afins                       ; Jaãº                     ; 1ªª Vara Criminal                                                     ; PEDRO SIQUEIRA DE PRETTO                          ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1501101-83.2021.8.26.0544; Tráfico de Drogas e Condutas Afins                       ; Campo Limpo Paulista     ; 1ªª Vara                                                              ; Gabriela da Conceiã§ã£o Rodrigues                 ; 5 ano 10 mês 0 dia; 5 ano 10 mês 0 dia ;      5;      10;      0;      5;      10;      0
1501170-11.2022.8.26.0535; Tráfico de Drogas e Condutas Afins                       ; Guarulhos                ; 1ªª Vara Criminal                                                     ; MIRIAN KEIKO SANCHES MACEDO                       ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
1501300-16.2022.8.26.0530; Tráfico de Drogas e Condutas Afins                       ; Jardinã³polis            ; 1ªª Vara                                                              ; Mariana Tonoli Angeli                             ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1501384-20.2018.8.26.0445; Tráfico de Drogas e Condutas Afins                       ; Pindamonhangaba          ; Vara Criminal                                                         ; FELIPE ESTEVAO DE MELO GONCALVES                  ; 5 ano 6 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       6;      0;      5;       0;      0
1501477-84.2021.8.26.0248; Tráfico de Drogas e Condutas Afins                       ; Indaiatuba               ; 2ªª Vara Criminal                                                     ; Daniela Faria Romano                              ; 5 ano 0 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       0;      0;      1;       8;      0
1501550-34.2021.8.26.0320; Tráfico de Drogas e Condutas Afins                       ; Limeira                  ; 1ªª Vara Criminal                                                     ; Ricardo Truite Alves                              ; N/A               ; 1 ano 8 mês 0 dia  ;      0;       0;      0;      1;       8;      0
1501550-34.2021.8.26.0320; Tráfico de Drogas e Condutas Afins                       ; Limeira                  ; 1ªª Vara Criminal                                                     ; Ricardo Truite Alves                              ; N/A               ; 5 ano 10 mês 0 dia ;      0;       0;      0;      5;      10;      0
1502041-89.2022.8.26.0616; Tráfico de Drogas e Condutas Afins                       ; Mogi das Cruzes          ; 2ªª Vara Criminal                                                     ; Davi de Castro Pereira Rio                        ; 5 ano 10 mês 0 dia; 5 ano 0 mês 0 dia  ;      5;      10;      0;      5;       0;      0
1502301-34.2021.8.26.0542; Tráfico de Drogas e Condutas Afins                       ; Barueri                  ; 2ªª Vara Criminal                                                     ; Fabio Calheiros do Nascimento                     ; 7 ano 0 mês 0 dia ; 8 ano 4 mês 24 dia ;      7;       0;      0;      8;       4;     24
1502387-84.2021.8.26.0548; Tráfico de Drogas e Condutas Afins                       ; Campinas                 ; 1ªª Vara Criminal                                                     ; PATRãCIA SUãREZ PAE KIM                           ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
1502730-98.2021.8.26.0542; Tráfico de Drogas e Condutas Afins                       ; Jandira                  ; 1ªª Vara                                                              ; André Luiz Tomasi de Queirã³z                     ; 7 ano 0 mês 0 dia ; 9 ano 4 mês 0 dia  ;      7;       0;      0;      9;       4;      0
1505148-23.2021.8.26.0408; Tráfico de Drogas e Condutas Afins                       ; Ourinhos                 ; 1ªª Vara Criminal                                                     ; Flavio Augusto Reinert de Freitas                 ; 5 ano 8 mês 0 dia ; 1 ano 8 mês 0 dia  ;      5;       8;      0;      1;       8;      0
1520576-37.2020.8.26.0228; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 31ªª Vara Criminal                                                    ; Ana Lucia Fernandes Queiroga                      ; 8 ano 0 mês 0 dia ; 9 ano 0 mês 0 dia  ;      8;       0;      0;      9;       0;      0
1520576-37.2020.8.26.0228; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 31ªª Vara Criminal                                                    ; Ana Lucia Fernandes Queiroga                      ; 2 ano 0 mês 0 dia ; 3 ano 0 mês 0 dia  ;      2;       0;      0;      3;       0;      0
1502387-84.2021.8.26.0548; Tráfico de Drogas e Condutas Afins                       ; Campinas                 ; 1ªª Vara Criminal                                                     ; PATRãCIA SUãREZ PAE KIM                           ; 5 ano 0 mês 0 dia ; 5 ano 0 mês 0 dia  ;      5;       0;      0;      5;       0;      0
1501550-34.2021.8.26.0320; Tráfico de Drogas e Condutas Afins                       ; Limeira                  ; 1ªª Vara Criminal                                                     ; Ricardo Truite Alves                              ; N/A               ; 1 ano 8 mês 0 dia  ;      0;       0;      0;      1;       8;      0
1501550-34.2021.8.26.0320; Tráfico de Drogas e Condutas Afins                       ; Limeira                  ; 1ªª Vara Criminal                                                     ; Ricardo Truite Alves                              ; N/A               ; 5 ano 10 mês 0 dia ;      0;       0;      0;      5;      10;      0
1500986-04.2021.8.26.0628; Tráfico de Drogas e Condutas Afins                       ; Itapevi                  ; Vara Criminal                                                         ; Udo Wolff Dick Appolo Do Amaral                   ; 6 ano             ; 7 ano              ;      6;       0;      0;      7;       0;      0
1509682-65.2021.8.26.0228; Tráfico de Drogas e Condutas Afins                       ; SãO PAULO                ; 15ªª Vara Criminal                                                    ; MANOELA ASSEF DA SILVA                            ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
1500091-33.2022.8.26.0038; Tráfico de Drogas e Condutas Afins                       ; Araras                   ; Vara Criminal                                                         ; Rafael Pavan de Moraes Filgueira                  ; N/A               ; N/A                ;      0;       0;      0;      0;       0;      0
